Name,shape,year,Brand,Link,cost,sales,Colorway,color,category,size,default
Scorpeus Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/scorpeus-pro-v-pickleball-paddle?variant=47784671051990,$$$,998.0,Club Green,green,paddle,16mm,
Hyperion Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/joola-hyperion-pro-v-pickleball-paddle?variant=47784671150294,$$$,998.0,Bolt Blue,blue,paddle,16mm,
Hyperion Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/joola-hyperion-pro-v-pickleball-paddle?variant=47784671183062,$$$,998.0,Bolt Blue,blue,paddle,14mm,
Agassi Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/joola-agassi-pro-v-pickleball-paddle-1?variant=47827805896918,$$$,998.0,Royal Blue,blue,paddle,16mm,
Agassi Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/joola-agassi-pro-v-pickleball-paddle-1?variant=47827805929686,$$$,998.0,Royal Blue,blue,paddle,14mm,
Graf Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/joola-graf-pro-v-pickleball-paddle-1?variant=47827805995222,$$$,998.0,Seaside Green,green,paddle,16mm,
Vapor Power 2,Hybrid,2026.0,11six24,https://11six24.com/collections/power-2/products/vapor-power-2?variant=52899440656687&sca_ref=10748848.AHQuNeZGEN,$$$,998.0,Teal,teal,paddle,16mm,
Vapor Power 2,Hybrid,2026.0,11six24,https://11six24.com/collections/power-2/products/vapor-power-2?variant=52899440689455&sca_ref=10748848.AHQuNeZGEN,$$$,998.0,Lavender,purple,paddle,16mm,
Vapor Power 2,Hybrid,2026.0,11six24,https://11six24.com/collections/power-2/products/vapor-power-2?variant=52899440722223&sca_ref=10748848.AHQuNeZGEN,$$$,998.0,White,white,paddle,16mm,
Hurache-X Power,Elongated,,11six24,https://11six24.com/collections/top-elongated-paddles/products/hurache-x-power?variant=50957782581551&sca_ref=10748848.AHQuNeZGEN,$,100.0,Teal,teal,paddle,16mm,
Hurache-X Power,Elongated,,11six24,https://11six24.com/collections/top-elongated-paddles/products/hurache-x-power?variant=52089908887855&sca_ref=10748848.AHQuNeZGEN,$,100.0,Lavender,purple,paddle,16mm,
Hurache-X Alpha Pro Power,Elongated,,11six24,https://11six24.com/collections/top-elongated-paddles/products/hurache-x-alpha-pro-power?sca_ref=10748848.AHQuNeZGEN,$$,100.0,White,white,paddle,16mm,
Hurache-X Jelly Bean,Elongated,,11six24,https://11six24.com/collections/top-elongated-paddles/products/hurache-x-jelly-bean?variant=50617115410735&sca_ref=10748848.AHQuNeZGEN,$,100.0,Teal,teal,paddle,16mm,
Hurache-X Jelly Bean,Elongated,,11six24,https://11six24.com/collections/top-elongated-paddles/products/hurache-x-jelly-bean?variant=51362952380719&sca_ref=10748848.AHQuNeZGEN,$,100.0,Pink,pink,paddle,16mm,
Hurache-X Jelly Bean,Elongated,,11six24,https://11six24.com/collections/top-elongated-paddles/products/hurache-x-jelly-bean?variant=52085193179439&sca_ref=10748848.AHQuNeZGEN,$,100.0,Cornflower Blue,blue,paddle,16mm,
Hurache-X All Court,Elongated,,11six24,https://11six24.com/collections/top-elongated-paddles/products/hurache-x-all-court?sca_ref=10748848.AHQuNeZGEN,$,100.0,Teal,teal,paddle,16mm,
Hurache-X Alpha1,Elongated,,11six24,https://11six24.com/collections/top-elongated-paddles/products/hurache-x-alpha1-1?sca_ref=10748848.AHQuNeZGEN,$,100.0,Grey,grey,paddle,16mm,
Hurache-X Power Royal Burst,Elongated,,11six24,https://11six24.com/collections/top-elongated-paddles/products/hurache-x-power-royal-burst?sca_ref=10748848.AHQuNeZGEN,$,100.0,Royal,purple,paddle,16mm,
Vapor Power,Hybrid,,11six24,https://11six24.com/collections/top-hybrid-paddles/products/vapor-power?sca_ref=10748848.AHQuNeZGEN,$,100.0,Teal,teal,paddle,16mm,
Vapor Alpha Pro Power,Hybrid,,11six24,https://11six24.com/collections/top-hybrid-paddles/products/vapor-alpha-pro-power?sca_ref=10748848.AHQuNeZGEN,$$,100.0,White,white,paddle,16mm,
